Code,title,opponents_1.name,opponents_1.degree,opponents_1.title,opponents_1.other,opponents_2.name,opponents_2.degree,opponents_2.title,opponents_2.other,opponents_3.name,opponents_3.degree,opponents_3.title,opponents_3.other,leading_organization,year,defense_council,specialties_1.code,specialties_1.name,specialties_2.code,specialties_2.name,defense_location,supervisors_1.name,supervisors_1.degree,supervisors_1.title,supervisors_1.other,supervisors_2.name,supervisors_2.degree,supervisors_2.title,supervisors_2.other,candidate_name,city,institution_prepared,degree.degree_level,degree.science_field,supervisors,specialties,opponents
mn20260420001,Формирование творческой активности старших дошкольников средствами предметно-пространственной среды,,,,,,,,,,,,,,1998,,13.00.07,теория и методика дошкольного образования,,,,Савенков Александр Ильич,,,,,,,,Цаплина Ольга Викторовна,,,кандидат,педагогические науки,,,
mn20260420002,Развитие интеллектуально-творческого потенциала личности ребенка средствами художественной деятельности,,,,,,,,,,,,,,2002,,13.00.01,"общая педагогика, история педагогики и образования",,,,Савенков Александр Ильич,,,,,,,,Сафонова Дора Михайловна,,,кандидат,педагогические науки,,,
mn20260420003,Компьютерные технологии как фактор интеллектуально-творческого развития личности младшего школьника,,,,,,,,,,,,,,2002,,13.00.01,"общая педагогика, история педагогики и образования",,,,Савенков Александр Ильич,,,,,,,,Моторин Владислав Валерьевич,,,кандидат,педагогические науки,,,
mn20260420004,Психологические особенности оценки детской одаренности педагогами,,,,,,,,,,,,,,2003,,19.00.13,"психология развития, акмеология",,,,Савенков Александр Ильич,,,,,,,,Леднева Светлана Анатольевна,,,кандидат,психологические науки,,,
mn20260420005,Формирование экономической культуры будущего педагога как значимого элемента его конкурентоспособности на рынке труда,,,,,,,,,,,,,,2010,,13.00.08,теория и методика профессионального образования,,,,Савенков Александр Ильич,,,,,,,,Любченко Ольга Андреевна,,,кандидат,педагогические науки,,,
mn20260420006,Учебно-исследовательская деятельность как фактор развития познавательных способностей младших школьников,,,,,,,,,,,,,,2016,,13.00.01,"общая педагогика, история педагогики и образования",,,,Савенков Александр Ильич,,,,,,,,Островская Анна Анатольевна,,,кандидат,педагогические науки,,,
mn20260420007,Развитие профессиональной одарённости будущего специалиста в высшей педагогической школе,,,,,,,,,,,,,,2009,,13.00.08,теория и методика профессионального образования,,,,Савенков Александр Ильич,,,,,,,,Нарикбаева Лора Максутовна,,,доктор,педагогические науки,,,
mn20260420008,,,,,,,,,,,,,,,2025,,5.8.7,методология и технологии профессионального образования,,,,Савенков Александр Ильич,,,,,,,,Атонов Николай Викторович,,,доктор,педагогические науки,,,
mn20260420009,,,,,,,,,,,,,,,,,,,,,,Комарова Тамара Семёновна,,,,,,,,Савенков Александр Ильич,,,кандидат,,,,
mn20260420010,,,,,,,,,,,,,,,,,,,,,,Матюшкин Алексей Михайлович,,,научный консультант,,,,,Савенков Александр Ильич,,,доктор,,,,
mn20260420011,,,,,,,,,,,,,,,,,,,,,,Сакулина Нина Павловна,,,,,,,,Комарова Тамара Семёновна,,,,,,,
mn20260420012,,,,,,,,,,,,,,,,,,,,,,Бакушинский Анатолий Васильевич,,,,,,,,Сакулина Нина Павловна,,,,,,,
mn20260420013,,,,,,,,,,,,,,,,,,,,,,Рубинштейн Сергей Леонидович,,,,,,,,Матюшкин Алексей Михайлович,,,,,,,
mn20260420014,,,,,,,,,,,,,,,,,,,,,,Коген Герман,,,,Наторп Пауль Герхард,,,,Рубинштейн Сергей Леонидович,,,,,,,
